name,test_type,test_provider_id,postal_code,city,active,location_name
some-mesh,animato-photon,young-ray,6131,Sittard,True,Lead Healthcare Covid Services - Samenwerkingspartner GGD
many-sofa,animato-photon,ecru-nut,5121,Rijen,True,Spoedtestcorona - Samenwerkingspartner GGD
adjacent-string,animato-photon,ecru-nut,4815,Breda,True,Spoedtestcorona - Samenwerkingspartner GGD
oblique-table,animato-photon,maroon-operator,4824,Breda,True,Coronareistesten - Samenwerkingspartner GGD
glossy-arneis,animato-photon,ecru-nut,5342,Oss,True,Spoedtestcorona - Samenwerkingspartner GGD
warm-cash,animato-photon,ecru-nut,3044,Rotterdam,True,Spoedtestcorona - Samenwerkingspartner GGD
optimal-template,animato-photon,ecru-nut,6545,Nijmegen,True,Spoedtestcorona - Samenwerkingspartner GGD
internal-class,animato-photon,quick-saddle,4104,Culemborg,True,Covid Plus - Samenwerkingspartner GGD
senile-pulsar,animato-photon,maroon-operator,2544,Den Haag,True,Coronareistesten - Samenwerkingspartner GGD
weathered-bronze,animato-photon,quick-saddle,3439,Nieuwegein,True,Covid Plus - Samenwerkingspartner GGD
generative-abscissa,animato-photon,young-ray,3817,Amersfoort,True,Lead Healthcare Covid Services - Samenwerkingspartner GGD
asymptotic-golf,animato-photon,parallel-suitcase,2131,Hoofddorp,True,CoronasneltestNederland.nl - Samenwerkingspartner GGD
augmenting-step,animato-photon,quick-saddle,1271,Huizen,True,Covid Plus - Samenwerkingspartner GGD
quadratic-corgie,animato-photon,quick-saddle,7418,Deventer,True,Covid Plus - Samenwerkingspartner GGD
nimble-ottoman,animato-photon,metallic-pascal,7544,Enschede,True,COVIDTest Nederland - Samenwerkingspartner GGD
funny-map,animato-photon,persistent-pocket,1976,IJmuiden,True,Alegria Health - Samenwerkingspartner GGD
ambitious-heel,animato-photon,metallic-pascal,7556,Hengelo,True,COVIDTest Nederland - Samenwerkingspartner GGD
investor-refresh,animato-photon,quick-saddle,8013,Zwolle,True,Covid Plus - Samenwerkingspartner GGD
oily-wire,animato-photon,quick-saddle,3769,Soesterberg,True,Covid Plus - Samenwerkingspartner GGD
brass-branch,animato-photon,quick-saddle,7202,Zutphen,True,Covid Plus - Samenwerkingspartner GGD
radiant-candy,animato-photon,gravitational-boulevard,8218,Lelystad,True,HOW ARE YOU Diagnostics - Samenwerkingspartner GGD
